company,title,location,expertise/department,commitment,url,first_seen_at,last_seen_at,is_active
Mercor,AI Safety Experts — English & Gujarati,Remote,Data Analysis,hourly,https://work.mercor.com/jobs/list_AAABnpARxg6eQEbj43JIy5re,2026-06-16T01:00:49+00:00,2026-06-16T01:07:59+00:00,1
Mercor,AI Safety Experts — English & Kannada,Remote,Miscellaneous,hourly,https://work.mercor.com/jobs/list_AAABnpArMaV3rY0o6SdM76o3,2026-06-16T01:00:49+00:00,2026-06-16T01:07:59+00:00,1
Mercor,AI Safety Experts — English & Malayalam,Remote,Data Analysis,hourly,https://work.mercor.com/jobs/list_AAABnpAl6GSzF1Eq8S5GPpnj,2026-06-16T01:00:49+00:00,2026-06-16T01:07:59+00:00,1
Mercor,AI Safety Experts — English & Marathi,Remote,Software Engineering,hourly,https://work.mercor.com/jobs/list_AAABno92DM4AMr1rhoZEhJJq,2026-06-16T01:00:49+00:00,2026-06-16T01:07:59+00:00,1
Mercor,AI Safety Experts — English & Odia,Remote,Data Analysis,hourly,https://work.mercor.com/jobs/list_AAABnpAPoL4kShewbrNKtLTV,2026-06-16T01:00:49+00:00,2026-06-16T01:07:59+00:00,1
Mercor,AI Safety Experts — English & Punjabi,Remote,Data Analysis,hourly,https://work.mercor.com/jobs/list_AAABnpAZ6Dy4XN87koBPT4LM,2026-06-16T01:00:49+00:00,2026-06-16T01:07:59+00:00,1
Mercor,AI Safety Experts — English & Tamil,Remote,Data Analysis,hourly,https://work.mercor.com/jobs/list_AAABnpApucbJSHrM35xOZ5Bq,2026-06-16T01:00:49+00:00,2026-06-16T01:07:59+00:00,1
Mercor,AI Safety Experts — English & Telugu,Remote,Miscellaneous,hourly,https://work.mercor.com/jobs/list_AAABnpAoAJFCvi6NB0BIwqFk,2026-06-16T01:00:49+00:00,2026-06-16T01:07:59+00:00,1
Mercor,AI Safety Experts — English & Urdu,Remote,Data Analysis,hourly,https://work.mercor.com/jobs/list_AAABnpAtSArGUxb8oUFBsbI_,2026-06-16T01:00:49+00:00,2026-06-16T01:07:59+00:00,1
Mercor,Academic Research Collaborator - Professors & PhDs,United States,Data Analysis,full-time,https://work.mercor.com/jobs/list_AAABnivceCMW8kGqDc9APoQ_,2026-06-16T01:00:49+00:00,2026-06-16T01:07:59+00:00,1
Mercor,Acting & Animation Performance Consultant,"Playa Vista, CA or New York, NY",Arts & Design,hourly,https://work.mercor.com/jobs/list_AAABnq4zopR9224HM7xDl61t,2026-06-16T01:00:49+00:00,2026-06-16T01:07:59+00:00,1
Mercor,Arches — Simulated Research Reviewer (MechE & Mat-Sci),Remote,Other Engineering,hourly,https://work.mercor.com/jobs/list_AAABnpRSpAnvC8nRqfBGZZjL,2026-06-16T01:00:49+00:00,2026-06-16T01:07:59+00:00,1
Mercor,Argentinian Spanish Audio Generalist Evaluator Expert,Remote,Language and Audio,hourly,https://work.mercor.com/jobs/list_AAABnEtpyks752FEfxFAtL48,2026-06-16T01:00:49+00:00,2026-06-16T01:07:59+00:00,1
