review_id,candidate_type,source,company,job_id,canonical_opportunity_id,external_id,source_hash,title,url,location,department,expertise,current_language,current_language_locale,current_required_languages,candidate_required_languages,candidate_language_locale,candidate_location_restriction,candidate_pattern,candidate_confidence,evidence_text,risk_notes,suggested_review_action,review_decision,human_required_languages,human_language_locale,human_location_restriction,human_notes,apply_eligible
omgr_mercor_language-locale_language-dash-locale_965,language_locale,mercor,Mercor,965,,list_AAABnoQC2bLQ9YaeK3JHzIPK,ad26f5e1d57fd4f89f086cf576d83183b4848221fe81f8b6eed3acc35fa88993,Voice Actor: CX Agent Voice Cloning (Spanish - Latin America),https://work.mercor.com/jobs/list_AAABnoQC2bLQ9YaeK3JHzIPK,Remote,Language and Audio,Language and Audio,,,,Spanish,Spanish Latin America,,language_dash_locale,high,title=Voice Actor: CX Agent Voice Cloning (Spanish - Latin America); location=Remote; pattern=language_dash_locale,Locale is title-derived; verify it is language locale rather than applicant country.,Confirm language locale or keep diagnostic only.,pending_review,,,,,yes
omgr_mercor_language-locale_language-dash-locale_964,language_locale,mercor,Mercor,964,,list_AAABnoQC-dC2MUckZJBC9oHw,b3a37fefb0abe50287de3ad7868ae54889d9c749c2fda945186d4597942564d6,Voice Actor: CX Agent Voice Cloning (Spanish - Mexico),https://work.mercor.com/jobs/list_AAABnoQC-dC2MUckZJBC9oHw,Remote,Language and Audio,Language and Audio,,,,Spanish,Spanish Mexico,,language_dash_locale,high,title=Voice Actor: CX Agent Voice Cloning (Spanish - Mexico); location=Remote; pattern=language_dash_locale,Locale is title-derived; verify it is language locale rather than applicant country.,Confirm language locale or keep diagnostic only.,pending_review,,,,,yes
omgr_mercor_language-locale_language-parenthetical-locale_7936,language_locale,mercor,Mercor,7936,,list_AAABnta9W11pnOe6FSxDoalq,23611179d10414a20eed513c60740b6878bad5875fe6efd6de0dc91709a71d82,English (Australia) Audio Generalist Evaluator Expert,https://work.mercor.com/jobs/list_AAABnta9W11pnOe6FSxDoalq,Remote,Language and Audio,Language and Audio,,,,English,English Australia,,language_parenthetical_locale,high,title=English (Australia) Audio Generalist Evaluator Expert; location=Remote; pattern=language_parenthetical_locale,Locale is title-derived; verify it is language locale rather than applicant country.,Confirm language locale or keep diagnostic only.,pending_review,,,,,yes
omgr_mercor_language-locale_language-parenthetical-locale_7937,language_locale,mercor,Mercor,7937,,list_AAABntaxoKcNqVEf461J9pn1,602d6bf47be538086e93fa7b8f67e3a60e7e09261a99fe5a1a6d47c1031f6e44,English (New Zealand) Audio Generalist Evaluator Expert,https://work.mercor.com/jobs/list_AAABntaxoKcNqVEf461J9pn1,Remote,Language and Audio,Language and Audio,,,,English,English New Zealand,,language_parenthetical_locale,high,title=English (New Zealand) Audio Generalist Evaluator Expert; location=Remote; pattern=language_parenthetical_locale,Locale is title-derived; verify it is language locale rather than applicant country.,Confirm language locale or keep diagnostic only.,pending_review,,,,,yes
omgr_mercor_language-locale_language-parenthetical-locale_941,language_locale,mercor,Mercor,941,,list_AAABnpPnj8HDVeWXIWZFYZoE,70ccdc396bc2a5989a831579dd1a254a4a6d92b3bb95dc8835d9f83009c6b369,English (US) Audio Generalist Evaluator Expert,https://work.mercor.com/jobs/list_AAABnpPnj8HDVeWXIWZFYZoE,Remote,Language and Audio,Language and Audio,,,,English,English United States,,language_parenthetical_locale,high,title=English (US) Audio Generalist Evaluator Expert; location=Remote; pattern=language_parenthetical_locale,Locale is title-derived; verify it is language locale rather than applicant country.,Confirm language locale or keep diagnostic only.,pending_review,,,,,yes
omgr_mercor_language-locale_language-parenthetical-locale_7906,language_locale,mercor,Mercor,7906,,list_AAABntQIot7U7jcxj6FLXInZ,c8eceda503a065876cecf37adb1f19de25c5dbc3aebf6d35e55fdba0fee65102,Spanish (Mexico) Audio Generalist Evaluator Expert,https://work.mercor.com/jobs/list_AAABntQIot7U7jcxj6FLXInZ,Remote,Language and Audio,Language and Audio,,,,Spanish,Spanish Mexico,,language_parenthetical_locale,high,title=Spanish (Mexico) Audio Generalist Evaluator Expert; location=Remote; pattern=language_parenthetical_locale,Locale is title-derived; verify it is language locale rather than applicant country.,Confirm language locale or keep diagnostic only.,pending_review,,,,,yes
omgr_mercor_language-locale_language-parenthetical-locale_7907,language_locale,mercor,Mercor,7907,,list_AAABntQCuEPmRunOSRxC1Z9v,327e8be2497e8e1b9aa7c824fdb10aa702d7080869ac347b3a238cae8d766823,Spanish (Spain) Audio Generalist Evaluator Expert,https://work.mercor.com/jobs/list_AAABntQCuEPmRunOSRxC1Z9v,Remote,Language and Audio,Language and Audio,,,,Spanish,Spanish Spain,,language_parenthetical_locale,high,title=Spanish (Spain) Audio Generalist Evaluator Expert; location=Remote; pattern=language_parenthetical_locale,Locale is title-derived; verify it is language locale rather than applicant country.,Confirm language locale or keep diagnostic only.,pending_review,,,,,yes
omgr_mercor_language-requirement_audio-language-role_7936,language_requirement,mercor,Mercor,7936,,list_AAABnta9W11pnOe6FSxDoalq,23611179d10414a20eed513c60740b6878bad5875fe6efd6de0dc91709a71d82,English (Australia) Audio Generalist Evaluator Expert,https://work.mercor.com/jobs/list_AAABnta9W11pnOe6FSxDoalq,Remote,Language and Audio,Language and Audio,,,,english,,,audio_language_role,high,title=English (Australia) Audio Generalist Evaluator Expert; location=Remote; pattern=audio_language_role; value=english,Title-derived language candidate; verify this is an applicant requirement before applying.,Confirm required language(s) or mark diagnostic only.,pending_review,,,,,yes
omgr_mercor_language-requirement_audio-language-role_7937,language_requirement,mercor,Mercor,7937,,list_AAABntaxoKcNqVEf461J9pn1,602d6bf47be538086e93fa7b8f67e3a60e7e09261a99fe5a1a6d47c1031f6e44,English (New Zealand) Audio Generalist Evaluator Expert,https://work.mercor.com/jobs/list_AAABntaxoKcNqVEf461J9pn1,Remote,Language and Audio,Language and Audio,,,,english,,,audio_language_role,high,title=English (New Zealand) Audio Generalist Evaluator Expert; location=Remote; pattern=audio_language_role; value=english,Title-derived language candidate; verify this is an applicant requirement before applying.,Confirm required language(s) or mark diagnostic only.,pending_review,,,,,yes
omgr_mercor_language-requirement_audio-language-role_941,language_requirement,mercor,Mercor,941,,list_AAABnpPnj8HDVeWXIWZFYZoE,70ccdc396bc2a5989a831579dd1a254a4a6d92b3bb95dc8835d9f83009c6b369,English (US) Audio Generalist Evaluator Expert,https://work.mercor.com/jobs/list_AAABnpPnj8HDVeWXIWZFYZoE,Remote,Language and Audio,Language and Audio,,,,english,,,audio_language_role,high,title=English (US) Audio Generalist Evaluator Expert; location=Remote; pattern=audio_language_role; value=english,Title-derived language candidate; verify this is an applicant requirement before applying.,Confirm required language(s) or mark diagnostic only.,pending_review,,,,,yes
omgr_mercor_language-requirement_audio-language-role_939,language_requirement,mercor,Mercor,939,,list_AAABnpPr7nbORrpA_ahLKJk6,f0578ad9163644f94651ce9ceea192e53e335398ff02b3932a167730fbb8b396,Japanese Audio Generalist Evaluator Expert,https://work.mercor.com/jobs/list_AAABnpPr7nbORrpA_ahLKJk6,Remote,Language and Audio,Language and Audio,,,,japanese,,,audio_language_role,high,title=Japanese Audio Generalist Evaluator Expert; location=Remote; pattern=audio_language_role; value=japanese,Title-derived language candidate; verify this is an applicant requirement before applying.,Confirm required language(s) or mark diagnostic only.,pending_review,,,,,yes
omgr_mercor_language-requirement_audio-language-role_7906,language_requirement,mercor,Mercor,7906,,list_AAABntQIot7U7jcxj6FLXInZ,c8eceda503a065876cecf37adb1f19de25c5dbc3aebf6d35e55fdba0fee65102,Spanish (Mexico) Audio Generalist Evaluator Expert,https://work.mercor.com/jobs/list_AAABntQIot7U7jcxj6FLXInZ,Remote,Language and Audio,Language and Audio,,,,spanish,,,audio_language_role,high,title=Spanish (Mexico) Audio Generalist Evaluator Expert; location=Remote; pattern=audio_language_role; value=spanish,Title-derived language candidate; verify this is an applicant requirement before applying.,Confirm required language(s) or mark diagnostic only.,pending_review,,,,,yes
omgr_mercor_language-requirement_audio-language-role_7907,language_requirement,mercor,Mercor,7907,,list_AAABntQCuEPmRunOSRxC1Z9v,327e8be2497e8e1b9aa7c824fdb10aa702d7080869ac347b3a238cae8d766823,Spanish (Spain) Audio Generalist Evaluator Expert,https://work.mercor.com/jobs/list_AAABntQCuEPmRunOSRxC1Z9v,Remote,Language and Audio,Language and Audio,,,,spanish,,,audio_language_role,high,title=Spanish (Spain) Audio Generalist Evaluator Expert; location=Remote; pattern=audio_language_role; value=spanish,Title-derived language candidate; verify this is an applicant requirement before applying.,Confirm required language(s) or mark diagnostic only.,pending_review,,,,,yes
omgr_mercor_location-restriction_uk-based_968,location_restriction,mercor,Mercor,968,,list_AAABnnh7tFSmvCaQxzJPhoNH,93b1541b513ae5a22f56974777edea406be0fce337643720c604d680a0d788e5,UK-Based Consulting Experts,https://work.mercor.com/jobs/list_AAABnnh7tFSmvCaQxzJPhoNH,Remote,Business Operations,Business Operations,,,,,,United Kingdom,uk_based,high,title=UK-Based Consulting Experts; location=Remote; pattern=uk_based,Location restriction is title-derived; verify applicant eligibility wording.,Confirm applicant location restriction or reject inference.,pending_review,,,,,yes
omgr_mercor_location-restriction_uk-based_967,location_restriction,mercor,Mercor,967,,list_AAABnni8FYZxYfTTuo1OaYVp,882056a4d6b593b1cfd1088d24ae2eef2281962a589e911e7383360f7b0c4520,UK-Based Legal Experts: US Finance,https://work.mercor.com/jobs/list_AAABnni8FYZxYfTTuo1OaYVp,Remote,Law,Law,,,,,,United Kingdom,uk_based,high,title=UK-Based Legal Experts: US Finance; location=Remote; pattern=uk_based,Location restriction is title-derived; verify applicant eligibility wording.,Confirm applicant location restriction or reject inference.,pending_review,,,,,yes
omgr_mercor_ambiguous-metadata_ampersand-language-list_986,ambiguous_metadata,mercor,Mercor,986,,list_AAABnh7mSXDbVv1EDKtP5IH3,3d6127889d679776b00aefece5e1764e426b04b31d49404b492a2d41a79de1fe,Generalist - English & Assamese,https://work.mercor.com/jobs/list_AAABnh7mSXDbVv1EDKtP5IH3,Remote,Language and Audio,Language and Audio,,,,,,,ampersand_language_list,ambiguous,title=Generalist - English & Assamese; location=Remote; pattern=ampersand_language_list,Ambiguous title pattern; do not apply without human interpretation.,"Choose keep_diagnostic_only, needs_more_research, or provide corrected metadata.",pending_review,,,,,no
omgr_welocalize_language-locale_language-parenthetical-locale_7522,language_locale,welocalize,Welocalize,7522,552,6e0ac589-3fba-429a-8ce4-5c48a2cf0e2d,8c871d9f7aadec219e827db4d992fae5287edcf1c644eb70cebbcebd1ac5bb8e,*Scout Junior Quality Coordinator - Portuguese (Brazil),https://jobs.lever.co/weloglobal/6e0ac589-3fba-429a-8ce4-5c48a2cf0e2d,Brazil,Data Validation,Data Validation,,,,Portuguese,Portuguese Brazil,,language_parenthetical_locale,high,title=*Scout Junior Quality Coordinator - Portuguese (Brazil); location=Brazil; pattern=language_parenthetical_locale,Locale is title-derived; verify it is language locale rather than applicant country.,Confirm language locale or keep diagnostic only.,pending_review,,,,,yes
omgr_welocalize_language-locale_language-parenthetical-locale_7523,language_locale,welocalize,Welocalize,7523,552,aaae7990-493d-4359-afc5-8e118e8f0d04,87d4754548d174d2b07ddf916cbe5eddeebffa59e36ea6d64846562834da21c4,*Scout Junior Quality Coordinator - Spanish (Mexico),https://jobs.lever.co/weloglobal/aaae7990-493d-4359-afc5-8e118e8f0d04,"Mexico City, Mexico",Data Validation,Data Validation,,,,Spanish,Spanish Mexico,,language_parenthetical_locale,high,"title=*Scout Junior Quality Coordinator - Spanish (Mexico); location=Mexico City, Mexico; pattern=language_parenthetical_locale",Locale is title-derived; verify it is language locale rather than applicant country.,Confirm language locale or keep diagnostic only.,pending_review,,,,,yes
omgr_welocalize_language-locale_language-parenthetical-locale_7550,language_locale,welocalize,Welocalize,7550,914,c43ab912-0d54-431a-abb4-e9b2c1ca9749,2411a48bb10992f3739dbeb9ba39acaa158d92caf943b3cf17c0774e36034060,Ads Quality Rater - Mandarin (Taiwan),https://jobs.lever.co/weloglobal/c43ab912-0d54-431a-abb4-e9b2c1ca9749,Taiwan,Data Validation,Data Validation,Mandarin,,,Chinese,Chinese Taiwan,,language_parenthetical_locale,high,title=Ads Quality Rater - Mandarin (Taiwan); location=Taiwan; pattern=language_parenthetical_locale,Locale is title-derived; verify it is language locale rather than applicant country.,Confirm language locale or keep diagnostic only.,pending_review,,,,,yes
omgr_welocalize_language-locale_language-parenthetical-locale_7554,language_locale,welocalize,Welocalize,7554,918,d9a91e49-8052-4ce6-836d-9ee264214b7d,f756403770b741cfea8df38ece4a59250789680b840fb8924d7c209b3c896be1,Ads Quality Rater - Spanish (Argentina),https://jobs.lever.co/weloglobal/d9a91e49-8052-4ce6-836d-9ee264214b7d,Argentina,Data Validation,Data Validation,Spanish,,,Spanish,Spanish Argentina,,language_parenthetical_locale,high,title=Ads Quality Rater - Spanish (Argentina); location=Argentina; pattern=language_parenthetical_locale,Locale is title-derived; verify it is language locale rather than applicant country.,Confirm language locale or keep diagnostic only.,pending_review,,,,,yes
